speaker,text,cmd
WAIT,"La señal no termina aquí.","WAIT=BEAT"
WAIT,"Solo cambia de frecuencia.","WAIT=BEAT"
WAIT,"Lo que has visto... es apenas el umbral.","WAIT=CLICK"
WAIT,"","WAIT=BEAT"
WAIT,"Transmisión en curso.","WAIT=BEAT"
WAIT,"Continuará.","WAIT=BEAT"
WAIT,"","WAIT=BEAT"
WAIT,"","WAIT=BEAT"
WAIT,"","WAIT=BEAT"
WAIT,"— AV Games —","WAIT=BEAT"
WAIT,"Demo técnica · DAM 2","WAIT=BEAT"
WAIT,"","WAIT=BEAT"
WAIT,"MIGUEL BENJUMÉA HIDALGO","WAIT=BEAT"
WAIT,"JUAN JIMÉNEZ NIETO","WAIT=BEAT"
WAIT,"RONNALD BENÍTEZ RECALDE","WAIT=BEAT"
WAIT,"DAVID GUTIÉRREZ ORTIZ","WAIT=AUTO;DURATION=4.5"
JUMP,"","JUMP_SCENE=scene_end;JUMP_LINE=0;JUMP_UNITY_SCENE=Scene_Menu;SKIP_MUSIC_FADE=1"
